"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\documentation-system\backend\middlewares\authMiddleware.js", "JavaScript", 15, 8, 7, 30
"c:\Users\Admin\documentation-system\backend\models\file.js", "JavaScript", -39, -1, -10, -50
"c:\Users\Admin\documentation-system\backend\models\filters.js", "JavaScript", -21, -3, -8, -32
"c:\Users\Admin\documentation-system\backend\models\folder.js", "JavaScript", -23, 0, -5, -28
"c:\Users\Admin\documentation-system\backend\models\holidays.model.js", "JavaScript", -40, -3, -6, -49
"c:\Users\Admin\documentation-system\backend\models\user.model.js", "JavaScript", -17, 0, -5, -22
"c:\Users\Admin\documentation-system\backend\models\user.token.js", "JavaScript", -16, 0, -5, -21
"c:\Users\Admin\documentation-system\backend\models\userImg.js", "JavaScript", -16, 0, -5, -21
"Total", "-", -157, 1, -37, -193
